Gender,Age,Height,Weight,BMR,Calories
0,22,168,60,1545,2665.13
1,30,140,99,1554,1864.8
0,25,170,52,1462.5,1755
0,50,168,51,1315,1578
1,38,160,40,1049,1258.8
1,27,157,78,1465.25,1758.302
1,23,137,73,1310.25,1572.302
0,21,170,123,2192.5,2631
1,23,157,90,1605.25,1926.302
0,25,173,100,1961.25,2696.723
0,25,163,110,1998.75,2398.498
0,22,170,65,1607.5,2491.622
1,23,157,97,1675.25,2010.302
0,20,157,40,1286.25,1543.502
1,21,152,52,1204,1444.8
0,22,145,58,1381.25,1657.502
0,22,160,114,2035,2442
1,27,152,97,1624,1948.8
1,21,155,65,1352.75,1860.033
0,32,155,93,1743.75,2092.498
1,21,157,43,1145.25,1374.302
0,23,165,47,1391.25,1669.502
1,22,150,58,1246.5,1713.935
0,29,173,93,1871.25,2572.97
1,61,152,61,1094,1312.8
0,22,165,105,1976.25,2717.342
0,22,168,60,1545,1854
1,23,142,84,1451.5,1741.8
0,23,178,79,1792.5,2778.372
0,22,168,62,1565,2151.873
1,22,157,68,1390.25,2154.89
0,23,180,63,1645,1974
0,49,157,89,1631.25,1957.502
1,27,157,45,1135.25,1362.302
1,23,160,74,1464,2269.2
0,22,165,43,1356.25,1627.502
0,29,175,108,2033.75,2440.498
0,31,163,106,1928.75,2314.498
1,22,157,80,1510.25,1812.302
1,50,142,70,1176.5,1411.8
1,50,165,50,1120.25,1344.302
1,24,168,60,1369,2121.956
1,20,165,63,1400.25,2170.382
0,24,165,120,2116.25,2539.502
1,22,130,39,931.5,1117.8
0,40,183,110,2048.75,2458.498
0,23,168,82,1760,2420.003
0,27,165,49,1391.25,1669.502
0,35,155,88,1678.75,2014.498
0,27,160,102,1890,2268
0,22,170,102,1977.5,2373
0,25,173,78,1741.25,3308.375
1,47,142,110,1591.5,1909.8
1,26,178,71,1531.5,2373.828
1,24,145,86,1485.25,1782.302
0,23,173,63,1601.25,2201.723
1,28,157,45,1130.25,1356.302
1,22,160,71,1439,1726.8
1,29,140,72,1289,1546.8
0,28,157,76,1606.25,1927.502
1,40,155,99,1597.75,1917.298
1,22,157,87,1580.25,1896.302
1,20,163,44,1197.75,1437.298
0,20,165,69,1626.25,2236.092
0,22,180,62,1640,2541.997
0,22,173,70,1676.25,3184.87
0,21,160,45,1350,1620
1,47,145,104,1550.25,1860.302
0,27,165,82,1721.25,2366.723
0,24,175,82,1798.75,2788.059
0,27,173,111,2061.25,2473.502
1,18,170,110,1911.5,2628.31
1,31,160,46,1144,1372.8
1,24,145,94,1565.25,1878.302
1,19,137,71,1310.25,1572.302
1,28,152,58,1229,1474.8
0,29,168,96,1870,2244
0,25,165,79,1701.25,2636.938
0,20,168,106,2015,2418
0,51,165,50,1281.25,1537.502
1,48,165,109,1720.25,2064.298
0,24,170,66,1607.5,2491.622
1,36,142,88,1426.5,1711.8
0,23,165,70,1621.25,2229.215
0,30,173,52,1456.25,1747.502
0,40,160,108,1885,2262
1,22,163,75,1497.75,1797.298
0,30,168,51,1415,1698
1,17,155,56,1282.75,1539.298
1,26,145,94,1555.25,1866.302
1,30,155,75,1407.75,1689.298
1,45,147,92,1452.75,1743.298
1,22,155,51,1207.75,1449.298
1,41,142,58,1101.5,1321.8
0,29,173,105,1991.25,2389.502
1,22,152,79,1469,1762.8
1,23,165,67,1425.25,2458.56
0,33,163,119,2048.75,2458.498
1,19,160,85,1594,1912.8
0,27,168,87,1790,2148
0,49,160,67,1430,1966.25
0,25,170,80,1742.5,2091
0,16,173,69,1696.25,3222.873
1,43,140,77,1269,1522.8
0,24,157,120,2066.25,2479.502
0,22,168,83,1775,2130
0,22,175,98,1968.75,2362.498
0,23,170,70,1652.5,3139.75
1,23,160,60,1324,1588.8
1,25,163,65,1382.75,1659.298
0,23,163,47,1378.75,1654.498
1,39,157,45,1075.25,1478.466
0,56,173,55,1356.25,1627.502
1,24,135,85,1412.75,1695.298
0,42,155,87,1633.75,1960.498
1,25,157,64,1335.25,1835.967
0,35,168,47,1350,1620
